Index,Time,ax,ay,(((drivers.opticalFlow).processedMessage).payload).distance,(((drivers.opticalFlow).processedMessage).payload).optical_flow_vel_x,(((drivers.opticalFlow).processedMessage).payload).optical_flow_vel_y,(initPos).x,(initPos).y
129,1.290011,0.0266316589,0.0255158879,68,-20,0,-0.101570636,0.392457783
130,1.299989,-0.0116755692,0.00157387089,68,20,0,-0.101461828,0.392457783
131,1.310017,0.0218432546,-0.00321453251,68,20,0,-0.101325817,0.392457783
132,1.320010,-0.0116755692,-0.0295507517,68,0,0,-0.101271413,0.392457783
133,1.329996,-0.00209876243,0.0255158879,68,0,0,-0.101271413,0.392457783
134,1.339993,0.0505736768,-0.0175797436,67,0,0,-0.101271413,0.392457783
135,1.349996,-0.0308291819,-0.00560873421,67,0,0,-0.101271413,0.392457783
136,1.360016,-0.0260407794,-0.0151855415,68,0,-20,-0.101271413,0.392348945
137,1.370013,0.0242374558,0.0326984935,68,0,-20,-0.101271413,0.392212898
138,1.379994,-0.00688716583,0.00396807259,67,20,0,-0.101164214,0.392185688
139,1.389990,0.000295439298,-0.046310164,67,20,0,-0.101030216,0.392185688
140,1.400017,-0.0404059887,-0.00321453251,67,0,0,-0.101003416,0.392185688
141,1.410013,0.0338142626,0.0422752984,67,0,0,-0.101003416,0.392185688
142,1.419998,0.000295439298,0.00875647552,68,0,0,-0.101003416,0.392185688
143,1.429979,-0.0236465782,-0.0199739449,68,0,0,-0.101003416,0.392185688
144,1.439993,-0.0212523751,-0.055886969,69,0,20,-0.101003416,0.392296076
145,1.449971,-0.0188581739,0.0279100891,69,0,20,-0.101003416,0.392434061
146,1.460019,0.00747804437,-0.0271565504,68,0,0,-0.101003416,0.392461658
147,1.469994,-0.0260407794,0.0135448789,68,0,0,-0.101003416,0.392461658
148,1.480010,0.000295439298,-0.0199739449,68,40,0,-0.100785829,0.392461658
149,1.490017,0.00268964097,0.0183332823,68,40,0,-0.100513846,0.392461658
150,1.500010,-0.00449296413,-0.00560873421,67,0,0,-0.100405052,0.392461658
151,1.510015,-0.0451943912,-0.0103971381,67,0,0,-0.100405052,0.392461658
152,1.519991,-0.0212523751,0.0231216867,69,-40,0,-0.100625858,0.392461658
153,1.529996,0.0122664478,0.0422752984,69,-40,0,-0.100901864,0.392461658
